pais;ano;pop;LDTx;ldtxtaxa;ordem
Grecia;2008;11,2;51;4,55;10
Belgica;2008;10,5;45;4,29;11
Eslovaquia;2008;5,4;21;3,89;12
Franca;2008;61,9;222;3,59;13
Espanha;2008;44,6;156;3,5;14
Rep Checa;2008;10,2;29;2,84;15
Hungria;2008;10;24;2,4;16
Estonia;2008;1,3;3;2,31;17
Irlanda;2008;4,4;10;2,27;18
Italia;2008;58,9;123;2,09;19
Croacia;2008;4,6;9;1,96;20
Finlandia;2008;5,3;9;1,7;21
Lituania;2008;3,4;5;1,47;22
Bulgaria;2008;7,6;11;1,45;23
Polonia;2008;38;20;0,53;24
Letonia;2008;2,3;1;0,43;25
Eslovenia;2008;2;NA;NA;28
Luxemburgo;2008;0,5;NA;NA;28
Malta;2008;0,4;NA;NA;28
Holanda;2009;16,6;417;25,12;1
Chipre;2009;0,9;20;22,22;2
Suecia;2009;9,2;164;17,83;3
Dinamarca;2009;5,5;90;16,36;4
Reino Unido;2009;61,6;982;15,94;5
Malta;2009;0,4;6;15;6
Austria;2009;8,4;69;8,21;7
Alemanha;2009;82,2;600;7,3;8
Portugal;2009;10,7;64;5,98;9
Romenia;2009;21,3;113;5,31;10
Espanha;2009;44,9;235;5,23;11
Belgica;2009;10,6;49;4,62;12
Irlanda;2009;4,5;18;4;13
Franca;2009;62,3;223;3,58;14
Eslovaquia;2009;5,4;19;3,52;15
Croacia;2009;4,4;14;3,18;16
Estonia;2009;1,3;4;3,08;17
Grecia;2009;11,2;34;3,04;18
Letonia;2009;2,2;6;2,73;19
Lituania;2009;3,3;9;2,73;20
Rep Checa;2009;10,4;27;2,6;21
Hungria;2009;10;24;2,4;22
Italia;2009;59,9;136;2,27;23
Bulgaria;2009;7,5;15;2;24
Finlandia;2009;5,3;6;1,13;25
Polonia;2009;38,1;23;0,6;26
Eslovenia;2009;2;1;0,5;27
Luxemburgo;2009;0,5;0;0;28
Holanda;2010;16,7;473;28,32;1
Chipre;2010;0,9;24;26,67;2
Dinamarca;2010;5,5;102;18,55;3
Suecia;2010;9,3;168;18,06;4
Reino Unido;2010;61,9;1026;16,58;5
Alemanha;2010;82,1;665;8,1;6
Malta;2010;0,4;3;7,5;7
Austria;2010;8,4;59;7,02;8
Espanha;2010;45,3;240;5,3;9
Irlanda;2010;4,6;23;5;10
Portugal;2010;10,7;51;4,77;11
Belgica;2010;10,7;49;4,58;12
Croacia;2010;4,4;20;4,55;13
Franca;2010;62,6;283;4,52;14
Hungria;2010;10;42;4,2;15
Romenia;2010;21,2;88;4,15;16
Estonia;2010;1,3;4;3,08;17
Italia;2010;60,1;182;3,03;18
Lituania;2010;3,3;8;2,42;19
Grecia;2010;11,2;27;2,41;20
Finlandia;2010;5,3;11;2,08;21
Rep Checa;2010;10,4;17;1,63;22
Bulgaria;2010;7,5;12;1,6;23
Polonia;2010;38;50;1,32;24
Eslovaquia;2010;5,4;7;1,3;25
Letonia;2010;2,2;2;0,91;26
Eslovenia;2010;2;0;0;27
Luxemburgo;2010;0,5;0;0;28
Holanda;2011;16,7;440;26,35;1
Suecia;2011;9,4;184;19,57;2
Dinamarca;2011;5,6;100;17,86;3
Chipre;2011;1,1;19;17,27;4
Reino Unido;2011;62,4;1026;16,44;5
Malta;2011;0,4;6;15;6
Alemanha;2011;82,2;795;9,67;7
Espanha;2011;46,5;312;6,71;8
Austria;2011;8,4;55;6,55;9
Irlanda;2011;4,5;27;6;10
Franca;2011;63,1;302;4,79;11
Hungria;2011;10;47;4,7;12
Portugal;2011;10,7;47;4,39;13
Grecia;2011;11,4;46;4,04;14
Rep Checa;2011;10,5;40;3,81;15
Belgica;2011;10,8;40;3,7;16
Romenia;2011;21,4;75;3,5;17
Italia;2011;60,8;211;3,47;18
Estonia;2011;1,3;4;3,08;19
Finlandia;2011;5,4;13;2,41;20
Eslovaquia;2011;5,5;13;2,36;21
Croacia;2011;4,4;9;2,05;22
Letonia;2011;2,2;3;1,36;23
Bulgaria;2011;7,4;9;1,22;24
Polonia;2011;38,3;40;1,04;25
Lituania;2011;3,3;3;0,91;26
Eslovenia;2011;2;0;0;27
Luxemburgo;2011;0,5;0;0;28
Holanda;2012;16,7;485;29,04;1
Chipre;2012;1,1;24;21,82;2
Reino Unido;2012;62,8;1032;16,43;3
Suecia;2012;9,5;155;16,32;4
Dinamarca;2012;5,6;77;13,75;5
Alemanha;2012;82;766;9,34;6
Espanha;2012;46,8;361;7,71;7
Austria;2012;8,4;63;7,5;8
Irlanda;2012;4,6;32;6,96;9
Rep Checa;2012;10,6;71;6,7;10
Franca;2012;63,5;357;5,62;11
Hungria;2012;9,9;53;5,35;12
Belgica;2012;10,8;57;5,28;13
Portugal;2012;10,7;47;4,39;14
Lituania;2012;3,3;12;3,64;15
Grecia;2012;11,4;41;3,6;16
Italia;2012;61;193;3,16;17
Malta;2012;0,4;1;2,5;18
Romenia;2012;21,4;53;2,48;19
Letonia;2012;2,2;5;2,27;20
Croacia;2012;4,4;9;2,05;21
Finlandia;2012;5,4;11;2,04;22
Estonia;2012;1,3;2;1,54;23
Polonia;2012;38,3;51;1,33;24
Bulgaria;2012;7,4;9;1,22;25
Eslovaquia;2012;5,5;3;0,55;26
Eslovenia;2012;2;0;0;27
Luxemburgo;2012;0,5;NA;NA;28
Holanda;2013;16,8;520;30,95;1
Chipre;2013;1,1;22;20;2
Dinamarca;2013;5,6;107;19,11;3
Reino Unido;2013;63,1;1100;17,43;4
Suecia;2013;9,6;151;15,73;5
Alemanha;2013;82,7;725;8,77;6
Austria;2013;8,5;74;8,71;7
Irlanda;2013;4,6;38;8,26;8
Espanha;2013;46,9;382;8,14;9
Rep Checa;2013;10,7;83;7,76;10
Malta;2013;0,4;3;7,5;11
Franca;2013;64,3;401;6,24;12
Belgica;2013;11,1;63;5,68;13
Portugal;2013;10,6;51;4,81;14
Hungria;2013;10;40;4;15
Grecia;2013;11,1;44;3,96;16
Italia;2013;61;217;3,56;17
Letonia;2013;2,1;6;2,86;18
Romenia;2013;21,7;54;2,49;19
Finlandia;2013;5,4;13;2,41;20
Lituania;2013;3;7;2,33;21
Eslovaquia;2013;5,5;10;1,82;22
Bulgaria;2013;7,2;11;1,53;23
Polonia;2013;38,2;57;1,49;24
Estonia;2013;1,3;1;0,77;25
Croacia;2013;4,3;3;0,7;26
Eslovenia;2013;2,1;0;0;27
Luxemburgo;2013;0,5;NA;NA;28
Holanda;2014;16,8;534;31,79;1
Dinamarca;2014;5,6;110;19,64;2
Chipre;2014;1,2;22;18,33;3
Reino Unido;2014;63,5;1097;17,28;4
Suecia;2014;9,6;151;15,73;5
Malta;2014;0,4;5;12,5;6
Espanha;2014;47,1;423;8,98;7
Irlanda;2014;4,7;40;8,51;8
Austria;2014;8,5;71;8,35;9
Franca;2014;64,6;514;7,96;10
Alemanha;2014;82,7;620;7,5;11
Belgica;2014;11,1;67;6,04;12
Rep Checa;2014;10,7;63;5,89;13
Portugal;2014;10,6;54;5,09;14
Hungria;2014;9,9;46;4,65;15
Lituania;2014;3;13;4,33;16
Italia;2014;61,1;251;4,11;17
Grecia;2014;11,1;42;3,78;18
Letonia;2014;2;7;3,5;19
Finlandia;2014;5,4;15;2,78;20
Eslovaquia;2014;5,5;15;2,73;21
Croacia;2014;4,3;11;2,56;22
Romenia;2014;21,6;37;1,71;23
Bulgaria;2014;7,2;12;1,67;24
Polonia;2014;38,2;55;1,44;25
Estonia;2014;1,3;1;0,77;26
Eslovenia;2014;2,1;0;0;27
Luxemburgo;2014;0,5;0;0;28
Holanda;2015;16,9;514;30,41;1
Chipre;2015;0,8;19;23,75;2
Dinamarca;2015;5,7;119;20,88;3
Reino Unido;2015;64,7;1042;16,11;4
Suecia;2015;9,8;131;13,37;5
Franca;2015;64,4;547;8,49;6
Espanha;2015;46,1;388;8,42;7
Alemanha;2015;80,7;645;7,99;8
Austria;2015;8,5;62;7,29;9
Irlanda;2015;4,7;33;7,02;10
Portugal;2015;10,3;62;6,02;11
Letonia;2015;2;11;5,5;12
Italia;2015;59,8;303;5,07;13
Rep Checa;2015;10,5;53;5,05;14
Belgica;2015;11,3;57;5,04;15
Hungria;2015;9,9;40;4,04;16
Estonia;2015;1,3;5;3,85;17
Eslovaquia;2015;5,4;19;3,52;18
Grecia;2015;11;35;3,18;19
Lituania;2015;2,9;9;3,1;20
Finlandia;2015;5,5;15;2,73;21
Romenia;2015;19,5;46;2,36;22
Polonia;2015;38,6;60;1,55;23
Bulgaria;2015;7,1;10;1,41;24
Croacia;2015;4,2;5;1,19;25
Eslovenia;2015;2,1;0;0;26
Malta;2015;0,4;0;0;27
Luxemburgo;2015;0,6;0;0;28
Alemanha;2016;80,7;597;7,4;11
Austria;2016;8,6;67;7,8;9
Belgica;2016;11,4;67;5,9;13
Bulgaria;2016;7,1;11;1,5;25
Chipre;2016;1,2;15;12,5;5
Croacia;2016;4,2;7;1,7;24
Dinamarca;2016;5,7;109;19,1;2
Eslovaquia;2016;5,4;19;3,5;19
Eslovenia;2016;2,1;2;1;27
Espanha;2016;46,1;343;7,4;10
Estonia;2016;1,3;4;3,1;21
Finlandia;2016;5,5;22;4;18
Franca;2016;64,7;576;8,9;8
Grecia;2016;10,9;49;4,5;16
Holanda;2016;17;565;33,2;1
Hungria;2016;9,8;34;3,5;20
Irlanda;2016;4,7;50;10,6;7
Italia;2016;59,8;280;4,7;15
Letonia;2016;2;10;5;14
Lituania;2016;2,9;6;2,1;23
Luxemburgo;2016;0,6;0;0;28
Malta;2016;0,4;5;12,5;6
Polonia;2016;38,6;50;1,3;26
Portugal;2016;10,3;65;6,3;12
Reino Unido;2016;65,1;1018;15,6;3
Rep Checa;2016;10,5;46;4,4;17
Romenia;2016;19,4;41;2,1;22
Suecia;2016;9,9;135;13,6;4
Austria;2017;8,7;69;7,9;8
Belgica;2017;11,4;63;5,5;15
Bulgaria;2017;7,1;8;1,1;26
Croacia;2017;4,2;11;2,6;21
Chipre;2017;1,2;9;7,5;9
Rep Checa;2017;10,6;51;4,8;18
Dinamarca;2017;5,7;92;16,1;2
Estonia;2017;1,3;5;3,8;20
Finlandia;2017;5,5;29;5,3;16
Franca;2017;65;611;9,4;7
Alemanha;2017;82,1;557;6,8;13
Grecia;2017;11,2;68;6,1;14
Hungria;2017;9,7;40;4,1;19
Irlanda;2017;4,8;51;10,6;6
Italia;2017;59,4;313;5,3;17
Letonia;2017;1,9;13;6,8;12
Lituania;2017;2,9;6;2,1;23
Luxemburgo;2017;0,6;0;0;28
Malta;2017;0,4;5;12,5;5
Holanda;2017;17;551;32,4;1
Polonia;2017;38,2;56;1,5;25
Portugal;2017;10,3;77;7,5;10
Romenia;2017;19,7;51;2,6;22
Eslovaquia;2017;5,4;11;2;24
Eslovenia;2017;2,1;2;1;27
Espanha;2017;46,4;332;7,2;11
Suecia;2017;9,9;125;12,6;4
Reino Unido;2017;66,2;1000;15,1;3
Holanda;2018;17,1;510;29,8;1
Reino Unido;2018;66,6;1034;15,5;2
Suecia;2018;10;144;14,4;3
Dinamarca;2018;5,8;77;13,3;4
Chipre;2018;1,2;15;12,5;5
Malta;2018;0,4;4;10;6
Irlanda;2018;4,8;40;8,3;7
Franca;2018;65,2;541;8,3;8
Austria;2018;8,8;70;8;9
Alemanha;2018;82,3;638;7,8;10
Letonia;2018;1,9;14;7,4;11
Espanha;2018;46,4;293;6,3;12
Grecia;2018;11,1;69;6,2;13
Finlandia;2018;5,5;32;5,8;14
Portugal;2018;10,3;59;5,7;15
Belgica;2018;11,5;57;5;16
Italia;2018;59,3;293;4,9;17
Hungria;2018;9,7;45;4,6;18
Rep Checa;2018;10,6;47;4,4;19
Lituania;2018;2,9;11;3,8;20
Romenia;2018;19,6;64;3,3;21
Estonia;2018;1,3;4;3,1;22
Eslovaquia;2018;5,4;11;2;23
Croacia;2018;4,2;5;1,2;24
Polonia;2018;38,1;40;1;25
Eslovenia;2018;2,1;2;1;26
Bulgaria;2018;7;5;0,7;27
Luxemburgo;2018;0,6;0;0;28
Holanda;2019;17,1;501;29,3;1
Reino Unido;2019;67;1022;15,3;2
Dinamarca;2019;5,8;87;15;3
Suecia;2019;10,1;147;14,6;4
Malta;2019;0,4;5;12,5;5
Austria;2019;8,8;77;8,8;6
Franca;2019;65,5;510;7,8;7
Chipre;2019;1,2;9;7,5;8
Portugal;2019;10,3;75;7,3;9
Espanha;2019;46,4;335;7,2;10
Alemanha;2019;82,4;520;6,3;11
Grecia;2019;11,1;68;6,1;12
Italia;2019;59,2;340;5,7;13
Irlanda;2019;4,8;25;5,2;14
Rep Checa;2019;10,6;49;4,6;15
Finlandia;2019;5,6;25;4,5;16
Belgica;2019;11,6;45;3,9;17
Eslovaquia;2019;5,5;21;3,8;18
Letonia;2019;1,9;6;3,2;19
Hungria;2019;9,7;30;3,1;20
Romenia;2019;19,5;57;2,9;21
Lituania;2019;2,9;7;2,4;22
Bulgaria;2019;7;13;1,9;23
Croacia;2019;4,1;7;1,7;24
Estonia;2019;1,3;2;1,5;25
Polonia;2019;38;52;1,4;26
Luxemburgo;2019;0,6;0;0;28
Eslovenia;2019;2,1;0;0;27
